patient_id,name,id_card,gender,age,department,diagnosis
P100000,赵文明,1301914193712180410,male,87,急诊科,2型糖尿病
P100001,郝海天,3601109200603231937,male,18,老年科,慢性支气管炎
P100002,马琳,4300430198212154800,female,42,新生儿科,带状疱疹
P100003,周磊,1401309195604285851,male,68,骨科,类风湿关节炎
P100004,吴梦,3500930197603158189,female,48,呼吸内科,急性上呼吸道感染; 骨折
P100005,卢峰飞,2201613194012118273,male,84,儿科,脑梗死
P100006,毛怡,4100325197603170609,female,48,儿科,高脂血症; 肺炎
P100007,阎梦,5300422196601226841,female,58,老年科,消化性溃疡; 慢性肾病
P100008,郑璐莉,1401027193403178180,female,90,耳鼻喉科,带状疱疹
P100009,郝恒,3401008196801040732,male,56,眼科,慢性支气管炎; 复查; 肺炎
P100010,林志,2201825199010149339,male,34,中医科,带状疱疹
P100011,熊瑶红,2301908201810180003,female,6,中医科,骨折; 肺炎
P100012,蔡勇,1501919199104186032,male,33,感染科,痛风
P100013,马杰,5300222197008288316,male,54,外科,阑尾炎
P100014,袁鹏鑫,230031520010515701X,male,23,外科,高血压; 慢性支气管炎
P100015,梁海,3500113199401063376,male,30,神经内科,复查
P100016,唐斌洋,3300202196601247475,male,58,ICU,贫血; 急性上呼吸道感染; 慢性支气管炎
P100017,周嘉华,4500220196504191075,male,59,口腔科,胆囊炎
P100018,冯婷倩,3300301198605155885,female,38,眼科,肺炎; 类风湿关节炎; 心力衰竭
P100019,丁勇,4301020197808278392,male,46,内科,肝硬化; 胃炎
P100020,许涛,4500723195405104332,male,70,口腔科,心力衰竭; 复查
P100021,杨燕,6100521195701113324,female,67,康复科,高脂血症
P100022,胡勇,6301219197909027031,male,45,肿瘤科,肝硬化
P100023,陈琳云,3602024197209281929,female,52,骨科,甲状腺功能亢进; 痛风; 2型糖尿病
P100024,蔡海,2100413193304090476,male,91,呼吸内科,术前检查
P100025,苏红慧,3101221197502256560,female,49,口腔科,阑尾炎; 2型糖尿病; 消化性溃疡
P100026,谢晴,3401114200310147786,female,21,妇产科,甲状腺功能减退
P100027,陈怡悦,2201214196012220841,female,64,耳鼻喉科,消化性溃疡
P100028,廖兰,1500714198405188569,female,40,口腔科,甲状腺功能亢进; 肝硬化
P100029,孔芳萍,3301515196510215622,female,59,ICU,贫血
P100030,曾晨,3200826198104222535,male,43,内科,产检
P100031,姜海,4101308196112131813,male,63,老年科,胃炎; 高脂血症
P100032,谢恒,620152219800805679X,male,44,耳鼻喉科,健康体检
P100033,孔瑶,6100827194308098148,female,81,老年科,复查; 脑梗死
P100034,田丽,1300505199606182961,female,28,中医科,类风湿关节炎
P100035,夏海健,6501923197707130292,male,47,血液科,尿路感染
P100036,余欣,4100809193310085562,female,91,内科,慢性阻塞性肺病
P100037,范明,5100103197110198272,male,53,儿科,甲状腺功能亢进; 急性上呼吸道感染
P100038,阎婷婷,6301409199405251064,female,30,内科,急性上呼吸道感染; 尿路感染
P100039,周磊,1500805195201206010,male,72,眼科,术前检查; 心力衰竭; 带状疱疹
P100040,江嘉,1401901193403103998,male,90,口腔科,支气管哮喘; 慢性阻塞性肺病; 甲状腺功能减退
P100041,邱华博,4400212193902266879,male,85,口腔科,阑尾炎
P100042,夏俊翔,3600624196912056656,male,55,耳鼻喉科,产检; 术前检查
P100043,邱荣云,2301519195605157865,female,68,内分泌科,胆囊炎
P100044,姚飞建,4300117198712092415,male,37,呼吸内科,复查; 脑梗死
P100045,姚瑶,2301022201507237445,female,9,普外科,尿路感染
P100046,孔雪璐,5300711199804041585,female,26,老年科,甲状腺功能减退; 类风湿关节炎
P100047,沈晴,2201008197402274625,female,50,神经内科,肝功能异常
P100048,陈静,6101604197911280187,female,45,神经内科,健康体检
P100049,宋静洁,1301921200407168700,female,20,儿科,肝硬化
P100050,袁涛,6101713196410085771,male,60,神经内科,高脂血症; 肝硬化
P100051,史杰,1300608200005222290,male,24,急诊科,痛风
P100052,秦洁红,3700322199712282946,female,27,感染科,甲状腺功能减退; 高脂血症
P100053,郝刚,120062619320303399X,male,92,康复科,慢性肾病; 健康体检
P100054,范博,3700320194209160573,male,82,康复科,心力衰竭
P100055,孙刚,6100919194010010534,male,84,普外科,健康体检
P100056,宋晴,3601111195608128504,female,68,骨科,复查
P100057,杜雯燕,350172719960225008X,female,28,泌尿外科,甲状腺功能减退
P100058,顾蕊,1501015195205188967,female,72,妇产科,脑梗死
P100059,苏轩海,5000516201708049153,male,7,ICU,痛风; 产检
P100060,袁璐,6500528196409240848,female,60,老年科,痛风; 阑尾炎
P100061,张梅,6400515194011166869,female,84,肾内科,支气管哮喘
P100062,蒋慧,610140219940428406X,female,30,中医科,支气管哮喘; 肾功能不全; 复查
P100063,林晨,4201501200308049238,male,21,肿瘤科,肾功能不全; 肺炎
P100064,许雪,5101813198106284065,female,43,新生儿科,肺炎
P100065,曾刚,640041519801123215X,male,44,内科,急性上呼吸道感染
P100066,魏颖,6200606199310222206,female,31,耳鼻喉科,脑梗死; 复查
P100067,程健,3701022196201266930,male,62,急诊科,尿路感染
P100068,钟莉,2301319199408044582,female,30,神经内科,慢性肾病; 2型糖尿病; 慢性阻塞性肺病
P100069,王妍,4101025195710242989,female,67,感染科,甲状腺功能减退
P100070,何霞,4401224197408021603,female,50,神经内科,痛风
P100071,韩明,3100609194709176158,male,77,康复科,消化性溃疡; 术前检查
P100072,高刚,1301301194609123396,male,78,妇产科,心力衰竭
P100073,叶霞,4500821196409110868,female,60,中医科,痛风
P100074,何磊,2301805199102044973,male,33,肾内科,痛风; 肾功能不全
P100075,马蕊,3400715195001235623,female,74,肾内科,带状疱疹
P100076,黄倩秀,5100721193208038185,female,92,内科,阑尾炎
P100077,林睿轩,6100526200004117614,male,24,消化内科,肾功能不全; 肝功能异常
P100078,谢秀,6200819202406264102,female,0,骨科,肝功能异常
P100079,金秀,4400415195906176421,female,65,耳鼻喉科,肝硬化
P100080,赵静,4101503194511041049,female,79,耳鼻喉科,肝功能异常
P100081,顾晴,3701720198709105502,female,37,感染科,类风湿关节炎; 高脂血症
P100082,程欣璐,360112219600211324X,female,64,儿科,产检; 肺炎
P100083,徐军,1201918194703187158,male,77,口腔科,尿路感染
P100084,杨梅,1501608196509071341,female,59,新生儿科,房颤
P100085,钟轩,4300120193911218451,male,85,内科,肝硬化
P100086,丁芳桂,5300103197102059580,female,53,心内科,术前检查
P100087,郑颖婷,6500205194010032080,female,84,外科,房颤; 健康体检
P100088,姚梦,3600410199002128689,female,34,普外科,肝硬化
P100089,萧峰,6100525201505073255,male,9,内分泌科,复查
P100090,谢玲红,3500214196206030267,female,62,急诊科,高脂血症; 慢性阻塞性肺病
P100091,彭秀,6301203195310155505,female,71,呼吸内科,慢性阻塞性肺病
P100092,潘博,5000417200102176531,male,23,老年科,肾功能不全
P100093,朱超辉,2101615195911039696,male,65,老年科,胆囊炎
P100094,罗瑶瑶,3401703197510023968,female,49,泌尿外科,带状疱疹
P100095,吴燕,6200215196910187324,female,55,内分泌科,肾功能不全; 急性上呼吸道感染
P100096,朱雪,2301515200803026781,female,16,耳鼻喉科,带状疱疹
P100097,余欣,3300311198211211285,female,42,口腔科,心力衰竭
P100098,蔡军,5201305199505217613,male,29,神经内科,阑尾炎
P100099,金军,320060719720112437X,male,52,心内科,肝功能异常
P100100,吴斌,1201129198912179895,male,35,儿科,肾功能不全
P100101,宋凯,3400815199201147859,male,32,老年科,健康体检; 骨折
P100102,苏志,3701025198510154892,male,39,ICU,贫血
P100103,江明,1401728201106181554,male,13,急诊科,房颤; 健康体检
P100104,汪军,3600213199206016451,male,32,呼吸内科,慢性支气管炎
P100105,萧娟霞,1500502193806263666,female,86,中医科,产检; 健康体检
P100106,徐强超,3600425196010173636,male,64,神经内科,脑梗死
P100107,顾璐蕊,4400823198311171840,female,41,肿瘤科,尿路感染
P100108,康海军,4301726197202176493,male,52,内科,产检
P100109,余翔强,5300425198106087456,male,43,儿科,阑尾炎
P100110,范志,3700210195612252517,male,68,感染科,冠心病
P100111,苏薇悦,3201228198211079903,female,42,皮肤科,消化性溃疡
P100112,汪倩,4101612194606066642,female,78,感染科,高脂血症
P100113,汪嘉,1301122199706043751,male,27,泌尿外科,高脂血症; 贫血
P100114,丁瑶琳,6200203197005218568,female,54,肾内科,贫血
P100115,高嘉,6101212197902084995,male,45,外科,健康体检; 带状疱疹
P100116,田丽,3100804197106210327,female,53,普外科,消化性溃疡
P100117,许瑶彤,1500315199104042262,female,33,急诊科,胆囊炎; 尿路感染
P100118,孔毅博,5000626193612234699,male,88,呼吸内科,甲状腺功能减退
P100119,曹俊轩,4500303196909053979,male,55,中医科,痛风; 肺炎
P100120,卢勇,610182119720327753X,male,52,老年科,高脂血症; 急性上呼吸道感染; 消化性溃疡
P100121,吕亮刚,1300907199005288194,male,34,消化内科,肝硬化
P100122,廖亮,5302011197811207215,male,46,内科,心力衰竭
P100123,康海,500101620190910317X,male,5,神经内科,急性上呼吸道感染
P100124,田海,6401124198703114477,male,37,儿科,胃炎; 胆囊炎
P100125,范涛华,6402014200505133132,male,19,内分泌科,胆囊炎; 甲状腺功能减退; 贫血
P100126,邹璐,420150820060213278X,female,18,肾内科,慢性肾病
P100127,秦洁芳,5301225194503095144,female,79,外科,甲状腺功能减退
P100128,孔梅薇,4502004196605271604,female,58,血液科,阑尾炎
P100129,高慧,1501126198201026084,female,42,泌尿外科,肝功能异常
P100130,史婷彤,4201718194910116282,female,75,神经内科,2型糖尿病
P100131,蔡秀,1102016196012213388,female,64,眼科,急性上呼吸道感染
P100132,梁琪,5100802197103277306,female,53,心内科,胆囊炎
P100133,罗欣,640022319591016178X,female,65,心内科,产检
